sample_type,rand_id,landslide_id,x,y,pt_elev,area_m2,z_min,z_max,relief_m
random,571,1250,414333.2456673018,2750524.515981968,339.0,2321.204274754379,324.0,353.0,29.0
random,572,1599,429945.33366520226,2751523.0342405047,561.0,6089.617242677718,543.0,576.0,33.0
random,573,1442,406397.83337950247,2751157.5247892537,283.0,1981.9054456734825,256.0,287.0,31.0
random,574,5543,430875.92363493115,2759188.378891388,591.0,1365.6498163719498,575.0,587.0,12.0
random,575,5738,427771.3653855936,2759487.4148314693,432.0,73328.69187946139,425.0,557.0,132.0
random,576,2266,403964.46537645947,2753159.4836152196,233.0,5460.040169238703,226.0,256.0,30.0
random,577,5531,431779.4377205579,2759164.5262170676,539.0,1673.9226886988097,533.0,547.0,14.0
random,578,1764,406628.15001762094,2751985.9764738567,262.0,1709.5233509491557,252.0,265.0,13.0
random,579,3029,408200.33909800067,2754451.2854723297,211.0,9246.838193058988,200.0,228.0,28.0
random,580,2197,419544.6771986008,2753001.8218026855,392.0,2249.6050290844955,382.0,394.0,12.0
random,581,2628,407854.5350441889,2753811.8550010263,244.0,4286.948470161463,225.0,252.0,27.0
random,582,517,430485.7155862599,2748074.2730380427,458.0,2848.3971885175492,438.0,468.0,30.0
random,583,4076,421583.6889036601,2756693.206019016,271.0,53384.04210940403,267.0,362.0,95.0
random,584,4469,410238.3841978772,2757524.345486791,272.0,1317.3427848729993,266.0,274.0,8.0
random,585,2967,417208.69083577517,2754391.9278220935,442.0,6184.776567026978,408.0,480.0,72.0
random,586,5345,425267.00073459104,2758843.9829180865,396.0,3525.263410309971,385.0,402.0,17.0
random,587,4968,415119.8390032929,2758220.889689896,224.0,3874.7205153926675,223.0,249.0,26.0
random,588,4335,406960.554519084,2757222.538884277,279.0,396.1942370962213,278.0,279.0,1.0
random,589,3581,420838.48993704974,2755629.2407445963,352.0,1086.9563256008616,350.0,361.0,11.0
random,590,1447,430844.49115759676,2751147.003018297,444.0,3759.567097196443,443.0,462.0,19.0
random,591,5519,423940.2465551263,2758922.667761796,404.0,8489.326596008692,380.0,436.0,56.0
random,592,667,430289.2537589109,2748595.263173267,435.0,14739.26280211733,423.0,456.0,33.0
random,593,4638,431664.27534605446,2757737.7262986815,545.0,2140.867241601799,534.0,558.0,24.0
random,594,1671,405982.47202747245,2751620.824506496,251.0,23201.85712500354,225.0,277.0,52.0
random,595,1610,408669.04103071,2751590.549149213,213.0,3329.159897513416,190.0,237.0,47.0
