OBJECTID,ridge_dist,top_x,top_y,top_z,top_slope_deg,ridge_x,ridge_y,ridge_z,long_axis_len
3073,83.6,412272.23110697855,2754639.8044034,264.14066311774417,34.21570213243741,412287.5199901256,2754721.994488277,292.8731622219493,82.19984445069068
3074,236.5,428100.51564691425,2754632.621971159,595.7410496624216,29.123733172163906,428240.24303446076,2754823.4321049815,682.5384467895789,196.3400974340993
3075,68.0,416596.5609349094,2754614.8342086035,382.8376012567569,20.243055274274415,416538.5128973584,2754579.4163411283,410.9536945658098,45.37584983139262
3076,90.0,404913.0593923516,2754611.3412607173,273.062569700779,30.565798185639622,405002.81112051336,2754604.6608945616,304.933749256281,77.02437171761301
3077,71.1,408559.7124532255,2754630.5101123005,217.66957097515046,26.981412563625305,408488.929824015,2754623.7997172265,237.4392965256909,47.409764969551745
3078,57.7,408000.7096550499,2754641.9734548125,203.28202486492984,22.19160656627279,408057.92644337914,2754649.425242067,223.85048124668538,38.50327874030477
3079,51.1,414980.2164387769,2754570.5967903417,342.4183656475798,38.162930487714114,414964.4141884865,2754522.0015345467,365.7321802330532,86.17755050751904
3080,34.8,415790.07344146975,2754598.059831015,383.8303886509384,29.80032110715867,415760.53011415864,2754579.668751346,395.2405610627741,92.22135659050514
3081,14.5,409625.22185581876,2754461.3280094326,278.3702838741883,20.67446261282179,409627.61190534447,2754447.026342982,280.0399754126847,207.6744298960208
3082,144.4,416832.1389326672,2754575.5372018213,390.2652232504031,21.50217423953968,416942.35984891566,2754482.248887326,395.2330880640938,96.26727873743766
3083,36.7,427046.46727825166,2754648.3683781535,610.682060202671,21.80140948635181,427009.7677955022,2754648.5632266165,624.7474968209957,24.505089163389233
3084,16.2,430780.77985000616,2754617.6972315996,527.1344978876732,14.196947417484147,430765.21654886997,2754613.2001594696,528.406090551341,66.90679642702901
3085,288.9,409293.38977327425,2754549.665903499,229.1625685577191,27.12379140724319,409515.3140525282,2754364.698813784,301.83906558953515,215.87353457681763
3086,86.2,434811.69910128985,2754661.2784896004,562.9995135607387,12.156145050965593,434727.73955618293,2754680.8037241814,572.1112227928097,152.38635589791593
3087,83.4,431889.83509406686,2754665.256130999,493.9157073946321,15.642246457208728,431940.7585190034,2754731.304331525,511.8767914549943,55.64507543771256
3088,16.1,405828.75910783507,2754600.465142143,254.85612902326466,20.243055274274415,405827.37996649,2754584.424320183,257.91101273156613,69.04633038218918
3089,104.0,414502.74492970534,2754655.6071364507,308.3777004332697,14.366056176200178,414417.52122964576,2754715.213519902,338.2875846678726,69.37817550150606
3090,35.9,403278.07930732844,2754649.385757239,283.8668567364358,10.142106156573984,403310.7537777106,2754634.5133335884,286.6424355909512,42.505946697647985
3091,21.2,407294.92620963877,2754658.4469410544,200.79346497103325,16.089894054824914,407276.3005797105,2754648.3214331768,203.3518989257838,37.960646860639
3092,58.4,431990.7904072228,2754667.4519591504,526.1454276158703,13.495733280795811,432040.2498645958,2754698.5054948004,534.8795495836457,55.65100459615588
3093,53.4,415515.7018622394,2754671.670006179,340.06824631415657,37.38702374015278,415565.8723091445,2754689.9589716317,367.74593252154125,90.77545033154638
3094,54.1,409367.75279210234,2754656.5535547747,232.0493392216922,29.80032110715867,409320.1434740036,2754630.859920735,251.08789145553152,41.08897191321479
3095,29.9,402607.433238899,2754669.5053629293,302.05111081049836,8.206727073997664,402577.7603269866,2754673.1834464846,304.0946757187776,77.77529056863294
3096,60.9,414133.62316138664,2754682.9760840354,272.5080091004686,23.307014702110447,414081.1455878316,2754713.877771267,289.4681139185767,40.62360034461356
3097,35.9,429617.5636501441,2754675.1662551994,617.3897172247525,16.089894054824914,429582.4599214853,2754682.685446263,627.0573322277924,23.971959389280983
3098,52.3,427954.3488378998,2754634.5008865576,582.7675931128956,29.060829788451077,428002.7583594027,2754614.706740255,590.6671041953512,76.16052260413754
3099,71.7,409890.59579102445,2754684.9447246934,261.1738943852688,22.666013397863924,409952.7260641024,2754720.73186159,277.09762132918695,57.72553396822486
3100,89.7,430735.466307867,2754661.537094612,519.9086741208012,14.366056176200178,430652.59953704366,2754627.1977834175,536.6463890002783,59.8155315498936
3101,14.0,413054.2285375401,2754686.9416583977,265.91753333076485,15.793169048263966,413040.23261053814,2754686.6039790316,267.33408848832937,65.9444447563196
3102,48.7,406328.2667059197,2754657.2751989565,228.053974662751,16.235792010273038,406319.2013392655,2754609.4263836374,231.0476509199012,37.53569891931657
3103,127.3,425894.6302580258,2754591.95138238,531.6300190721491,29.49620849656644,425962.9607383937,2754484.544513639,569.7322578649546,130.79451832480882
3104,96.5,411270.51540644455,2754673.6122901794,327.139987187428,25.795492628543876,411177.7701167286,2754646.9559356743,353.98782089671397,86.18096920937683
3105,144.5,414091.4414495879,2754709.0150759765,287.7107144235779,25.64100582430528,414148.73650110886,2754841.670747062,330.2893401198089,96.37571135020526
3106,32.2,411647.0452896056,2754696.494998511,332.92827000519895,24.516314079540912,411615.28261017083,2754691.2061238554,337.46351009156206,59.55951676743696
3107,102.5,414316.8254915335,2754709.506202222,290.6332362176706,35.795759914707084,414356.41758348705,2754804.0509866085,362.6486557738958,68.35388613880484
3108,74.2,416954.1383053285,2754706.463817366,449.27752736019283,20.243055274274415,417002.7723490811,2754762.5028197505,459.95153318196395,72.20317299818818
3109,59.5,410972.55541994906,2754712.928306981,333.8589367914055,25.007929193268353,411028.0178326887,2754734.4729298158,352.97212294246816,127.6878526169631
3110,59.5,414056.15213840595,2754716.691535687,284.8497137307387,29.618525422233592,414077.9679646624,2754772.0478336555,314.0311811069485,92.38927306133212
3111,39.9,409338.00909871375,2754659.358648863,238.60566485449453,30.565798185639622,409324.0875074664,2754621.966145642,253.41591599873476,58.15919409374137
3112,15.5,403183.7418051386,2754661.743768735,282.734455460987,5.111089695288715,403178.8736494091,2754647.0280947853,283.99775241717,57.54222834434323
3113,28.9,417243.9056518862,2754712.6949874037,478.71785974677186,20.243055274274415,417272.5030978514,2754716.865848738,490.90123914055584,19.29206395886636
3114,22.3,406081.39487528696,2754685.130563649,261.1516508063172,17.744671625056935,406102.77378209,2754678.7876665266,265.543013322138,97.25905631553451
3115,44.9,411790.5483102803,2754708.845591072,286.271009709948,29.98014024152449,411745.64923552057,2754709.133837006,294.77311243501026,29.95163608021201
3116,33.7,417384.0271891575,2754724.384774775,538.1080268104704,25.71843256387208,417393.131429665,2754756.831697661,544.313821308626,22.494101731420372
3117,33.9,417017.62419316743,2754717.6780513045,443.2029904995288,21.80140948635181,416984.0517510102,2754712.976867667,451.3220279976231,22.65900727185121
3118,87.8,406844.6632112019,2754669.717023683,219.00690836046232,11.309932474020215,406857.27003519854,2754582.826817165,236.40156388038304,58.57954620542111
3119,12.1,409276.5314957315,2754690.271404976,231.07657520385692,9.090276920822323,409266.21633011225,2754683.946267962,232.00684912566265,71.31155115813137
3120,131.7,418120.4150248036,2754613.894220243,664.3410073702785,32.31153323742385,418200.7151645692,2754509.506589014,711.5126937388559,109.94002462751007
3121,42.9,409733.18840474496,2754681.101450113,261.8483776372596,13.12884614937404,409696.14766177506,2754659.459052828,267.0,65.5782448000946
3122,37.2,405441.6992970462,2754737.3003299697,310.1261959677614,18.987982145065274,405428.11304155935,2754771.930571982,314.97095667525355,134.0946511149101
3123,242.7,407854.2483207192,2754578.3017066736,199.8443795890812,26.324947614792432,407958.69879477954,2754359.227772878,229.9632210254779,161.86380419147426
3124,50.2,415232.91225685115,2754715.345070928,312.4333075988834,29.123733172163906,415260.5978756358,2754673.469702123,339.9223730318263,33.516797903970605
3125,17.1,435373.8607027346,2754732.3983306694,560.1844555794087,15.020256666513818,435390.292599573,2754727.6651746086,560.8162638406066,41.21572286984234
3126,42.5,405983.2600505694,2754723.3624523766,223.23220738405507,15.020256666513818,405982.9691571527,2754680.8634479055,230.57732933912138,28.362665558902492
3127,49.9,409734.9467307537,2754725.869638209,248.41535827864573,28.54879122563375,409694.25853616785,2754696.9822565117,261.6451690213728,39.868561341610494
3128,44.2,406058.162542879,2754728.060728086,244.61291895576377,28.286692408693604,406096.2946269064,2754705.7093485375,262.573644539043,29.496573941432228
3129,47.0,418575.604791527,2754752.6829916476,663.3028967261343,27.543671227301132,418575.88331238215,2754799.6821663864,687.3980232330359,31.347221032038693
3130,76.8,403350.68053812586,2754747.816300198,279.59277055063956,10.142106156573984,403424.41420642583,2754769.300856489,291.8761028132405,51.24565095465288
3131,31.1,408561.9470951581,2754749.270715225,186.7837673330392,2.2906100426385296,408582.69368836936,2754772.4394197664,187.45189916405903,20.736618410450244
3132,21.5,420173.24307156925,2754740.74404501,502.5802336257766,21.80140948635181,420152.7420602106,2754747.2215856905,508.03418334416347,125.0755698706352
3133,7.3,431209.3752331755,2754751.6033672793,503.49722934983697,31.407133045561952,431202.8015070278,2754754.777658466,503.6305928763128,55.578552353787686
3134,51.3,415394.8653577113,2754756.123252615,313.92803786137665,14.366056176200178,415429.6672691445,2754793.8129987083,322.4474478060307,44.17411022262427
3135,76.5,410330.48719060293,2754758.0355219785,284.23622953344164,18.7477906121146,410306.88010844035,2754830.8019680358,304.38252274194383,51.057842079768335
3136,67.0,415855.3218066206,2754757.8689594506,330.225783857044,16.089894054824914,415916.4517718268,2754785.293899813,370.99665830146836,44.67787926955021
3137,65.7,416913.4553919525,2754757.2905857214,449.60832871028106,26.61996293569917,416977.7144287582,2754770.975109418,467.75402626025607,51.23070918363405
3138,67.6,409522.04873973626,2754769.9759158352,211.75027490901266,11.527973042352134,409507.4550218518,2754835.9818504043,223.21789184459664,45.075263939494306
3139,90.1,401922.4329575355,2754716.207907476,295.69437408019496,22.19160656627279,401879.5474278668,2754636.968767242,304.47227534988144,60.06883691518384
3140,67.1,425614.1198725258,2754726.99566466,415.710630283691,18.255059151203536,425608.6727840597,2754660.117123802,436.29635113719354,44.75553096110658
3141,83.8,409381.41768069717,2754755.2708018892,207.94007106025674,20.243055274274415,409465.2052426845,2754756.714566488,218.88582659506937,65.20926736734951
3142,0.0,409302.4950071377,2754716.9888696307,218.4665408641522,26.61996293569917,409302.4950071377,2754716.9888696307,218.4665408641522,171.02524474256268
3143,39.5,420026.2191813115,2754775.6339904694,484.17306212227163,26.837787558336057,420059.16131396854,2754797.429996893,504.34357442423027,26.370224828126617
3144,34.7,416999.8332773381,2754769.111699127,462.82967314418516,24.516314079540912,416965.26298379817,2754772.1091654846,468.02619971628883,45.282327933152125
3145,39.4,404554.72890067,2754774.6373588783,298.15576307533775,11.527973042352134,404515.3298507614,2754774.910975943,301.23287807541783,59.90417143316404
3146,63.9,428261.226691217,2754780.7638510494,692.8732441199099,28.220512053403727,428318.2863833832,2754809.5284391725,713.238360403062,81.01304242885966
3147,0.0,409936.8849420156,2754734.8091007783,273.418791507022,9.6316519614038,409936.8849420156,2754734.8091007783,273.418791507022,76.37494652062294
3148,93.5,420467.5350387684,2754786.4995518625,467.8454986499419,18.987982145065274,420533.74464186793,2754852.5187797993,502.13137398871186,62.35002795822165
3149,184.8,409889.4061784011,2754693.138462934,261.35354839514184,22.19160656627279,410031.57318010024,2754575.072449078,303.1033006684884,123.22379389929412
3150,137.6,429597.18567441904,2754789.228976236,644.9746765392482,11.309932474020215,429532.41393344844,2754910.6307125157,666.056706166539,91.75671179538493
3151,38.8,420717.4894525627,2754786.3338866862,428.87638001533963,20.67446261282179,420678.9716357951,2754791.004838565,445.11937992188035,25.86716720905847
3152,45.0,417336.81215463206,2754792.2617453504,532.933483920214,20.243055274274415,417362.92694519076,2754828.9089514385,543.2810334881266,44.40318246776911
3153,56.8,414504.0813068892,2754799.3434537756,329.1819105811892,15.020256666513818,414458.0850838386,2754832.668931493,343.4391597574722,37.931404042721674
3154,59.7,409786.443497363,2754799.2529884065,230.2117919992529,16.235792010273038,409827.3281566307,2754842.756259968,244.89434072102716,39.85675361284217
3155,89.0,414554.9492109279,2754798.554220103,331.07602382784955,22.666013397863924,414561.5449287778,2754887.3094819533,371.37786997099465,59.38168977928768
3156,33.1,410310.76367069583,2754788.28276874,297.3434898748528,23.396501671982783,410277.67261297634,2754787.5134190107,305.48214704170823,45.61949997350571
3157,109.9,420552.9931170368,2754785.689394216,466.5320104977436,26.324947614792432,420456.66133671935,2754838.587391351,488.2417443396844,73.28845635001804
3158,111.3,408495.40535497165,2754749.9227732453,186.13419089475204,9.6316519614038,408591.9029222173,2754694.461890493,193.85616012084233,74.22636497802664
3159,21.8,409237.03162065,2754793.879624337,207.50858018881263,18.255059151203536,409215.23295849934,2754793.6381115215,208.9231990331653,49.513191677417836
3160,5.2,413047.56996256387,2754781.463527687,266.6564163573224,6.84277341263094,413052.6929136521,2754780.571691296,266.68430008577286,59.74639972999978
3161,61.5,419981.6259195355,2754811.595735853,495.1544615125413,20.67446261282179,419981.9841790292,2754873.0946923494,518.5847819069961,41.04972824689262
3162,23.2,414456.1480302227,2754802.424682565,345.9349708879017,25.948527381355433,414435.5989613356,2754791.655477958,356.232498558893,15.474245615667243
3163,30.2,426265.48242990987,2754798.8242259873,583.2145264266946,25.795492628543876,426265.32034130837,2754768.6246609692,599.8860820774379,20.15149112786989
3164,48.6,407301.00742664794,2754789.8364675627,215.35194349120707,19.685730102414364,407252.7470498909,2754795.5719741024,224.1142420718097,109.22727971837952
3165,40.9,427248.6534458529,2754792.2434000606,536.4502073610503,22.19160656627279,427240.20525997283,2754752.225427157,553.6464852420615,27.32339365978643
3166,65.3,437810.6626728815,2754803.671748444,521.065272961423,24.094842552110705,437745.4051147122,2754801.3177939462,528.2058967602934,43.55952629757957
3167,142.4,409563.9885881678,2754725.657718781,219.11202615532238,14.196947417484147,409522.69983690005,2754589.3749281624,233.87207362600384,94.94139769337697
3168,53.6,429780.6504834887,2754774.092204918,634.4403915319708,21.89988173570756,429727.70075495244,2754765.7683687867,647.0078536028577,149.40639576989975
3169,122.3,415861.42305909196,2754817.2594310627,348.33148709184024,26.61996293569917,415979.1210614772,2754850.4930019593,414.19802559547156,81.5633946149723
3170,68.5,426141.97301626933,2754819.431701247,559.0744090009564,27.749659225200567,426190.2346891234,2754868.043026402,597.6286656806528,51.792319180800725
3171,113.9,406724.6583502305,2754798.4288796117,229.408626204258,11.309932474020215,406615.88746250997,2754832.2239086027,237.58482837563497,75.98272605079191
3172,14.8,410202.02022782894,2754791.806030378,303.8491133316664,11.309932474020215,410215.25353343476,2754785.1788422307,305.05432272977646,59.83402050544024
3173,120.5,419848.5534418666,2754826.232146885,537.8065256367204,23.749494492866763,419827.33936545526,2754944.8500753865,589.5091287050891,80.38615908280316
3174,183.2,420133.6386230104,2754827.369836017,532.5197009698459,26.324947614792432,420218.20748103614,2754989.8824455347,581.9204682383444,122.1644389097872
