OBJECTID,ls_count,x_ctr,y_ctr,
251,0,414887.3553,2777928.809,
252,0,421887.3553,2807928.809,
253,0,425887.3553,2773928.809,
254,0,404887.3553,2763928.809,
255,0,405887.3553,2799928.809,
256,0,389887.3553,2778928.809,
257,0,392887.3553,2783928.809,
258,0,412887.3553,2803928.809,
259,0,414887.3553,2787928.809,
260,0,389887.3553,2758928.809,
261,0,411887.3553,2774928.809,
262,0,410887.3553,2770928.809,
263,0,411887.3553,2764928.809,
264,0,421887.3553,2780928.809,
1988,31,413887.3553,2754928.809,0.00481217
266,0,394887.3553,2779928.809,
2057,31,417887.3553,2757928.809,0.00481217
268,0,403887.3553,2758928.809,
269,0,410887.3553,2810928.809,
270,0,430887.3553,2780928.809,
271,0,398887.3553,2789928.809,
272,0,387887.3553,2783928.809,
273,0,393887.3553,2778928.809,
274,0,402887.3553,2789928.809,
2329,31,408887.3553,2753928.809,0.00481217
276,0,409887.3553,2785928.809,
277,0,408887.3553,2785928.809,
278,0,424887.3553,2807928.809,
2379,30,410887.3553,2755928.809,0.004656939
362,28,411887.3553,2755928.809,0.004346476
281,0,428887.3553,2812928.809,
282,0,411887.3553,2807928.809,
283,0,412887.3553,2779928.809,
579,28,416887.3553,2759928.809,0.004346476
285,0,415887.3553,2778928.809,
286,0,425887.3553,2793928.809,
287,0,392939.7863,2757066.969,
715,28,433887.3553,2758928.809,0.004346476
289,0,418887.3553,2807928.809,
290,0,423887.3553,2791928.809,
291,0,390887.3553,2782928.809,
292,0,401887.3553,2762928.809,
293,0,413887.3553,2797928.809,
294,0,402887.3553,2784928.809,
295,0,395887.3553,2772928.809,
296,0,428851.6511,2797883.465,
297,0,419335.1928,2749400.029,
298,0,391887.3553,2779928.809,
299,0,408887.3553,2796928.809,
785,28,404887.3553,2753928.809,0.004346476
301,0,406887.3553,2759928.809,
302,0,394887.3553,2793928.809,
303,0,422887.3553,2812928.809,
304,0,431898.5444,2761914.853,
305,0,400887.3553,2787928.809,
306,0,403887.3553,2780928.809,
307,0,409887.3553,2794928.809,
1737,28,427887.3553,2758928.809,0.004346476
309,0,426887.3553,2764928.809,
310,0,386887.3553,2761928.809,
311,0,414887.3553,2813928.809,
312,0,420887.3553,2770928.809,
313,0,395887.3553,2780928.809,
314,0,396887.3553,2776928.809,
315,0,417887.3553,2781928.809,
308,27,417887.3553,2755928.809,0.004191245
1759,27,426887.3553,2759928.809,0.004191245
318,0,395887.3553,2769928.809,
319,0,407887.3553,2812928.809,
320,0,418887.3553,2785928.809,
321,0,407887.3553,2789928.809,
2627,27,429887.3553,2756928.809,0.004191245
323,0,420887.3553,2787928.809,
324,0,407887.3553,2777928.809,
325,0,410887.3553,2791928.809,
326,0,403887.3553,2801928.809,
531,26,408887.3553,2751928.809,0.004036014
328,0,398887.3553,2755928.809,
329,0,403887.3553,2794928.809,
1120,26,408887.3553,2752928.809,0.004036014
331,0,396887.3553,2773928.809,
332,0,411887.3553,2790928.809,
2077,26,416887.3553,2757928.809,0.004036014
334,0,413887.3553,2807928.809,
335,0,425887.3553,2783928.809,
336,0,415887.3553,2774928.809,
337,0,416887.3553,2793928.809,
338,0,415887.3553,2794928.809,
339,0,424887.3553,2779928.809,
340,0,389848.039,2761883.28,
341,0,417887.3553,2806928.809,
342,0,393887.3553,2789928.809,
343,0,419887.3553,2797928.809,
344,0,401887.3553,2801928.809,
345,0,411887.3553,2761928.809,
346,0,407887.3553,2806928.809,
347,0,415887.3553,2789928.809,
348,0,396887.3553,2777928.809,
349,0,412887.3553,2766928.809,
350,0,404887.3553,2797928.809,
351,0,392887.3553,2773928.809,
352,0,403887.3553,2785928.809,
353,0,420887.3553,2786928.809,
354,0,412914.6024,2814338.548,
355,0,404887.3553,2781928.809,
356,0,396887.3553,2795928.809,
357,0,416887.3553,2786928.809,
358,0,404887.3553,2808928.809,
2163,26,424887.3553,2749928.809,0.004036014
2351,26,414887.3553,2756928.809,0.004036014
