sample_type,rand_id,landslide_id,x,y,pt_elev,pt_slope,pt_lith,area_m2,z_min,z_max,relief_m
random,128,0,434920.0775475402,2752061.7268303004,578.0,20.833118438720703,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
random,129,0,412675.5108856551,2753163.7023633462,287.0,37.02801513671875,元古界楼子坝组,0.0,0.0,0.0,0.0
random,130,0,414082.153400293,2752289.528269358,278.0,23.001209259033203,元古界楼子坝组,0.0,0.0,0.0,0.0
random,131,0,434519.458108776,2752043.1889415747,512.0,18.98798179626465,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
random,132,0,424113.0708997449,2743513.302419859,665.0,17.432621002197266,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,133,0,435323.2950941751,2753566.2171310745,625.0,2.290610074996948,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
random,134,0,423188.2394475592,2759022.4912054986,450.0,4.573921203613281,二叠系童子岩组,0.0,0.0,0.0,0.0
random,135,0,432169.97937610216,2749223.9240400167,467.0,23.04688835144043,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,136,0,408640.73862531455,2758018.88509639,333.0,6.147248268127441,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,137,0,415482.4044690389,2758044.9749010555,222.0,13.674945831298828,元古界楼子坝组,0.0,0.0,0.0,0.0
random,138,0,411952.30588294624,2754001.239715068,320.0,34.77078628540039,元古界楼子坝组,0.0,0.0,0.0,0.0
random,139,0,432853.3404244547,2751951.440976546,508.0,19.12136650085449,燕山晚期花岗斑岩,0.0,0.0,0.0,0.0
random,140,0,411186.5999879874,2750920.9624166084,661.0,14.55355739593506,侏罗系下村组,0.0,0.0,0.0,0.0
random,141,0,426986.948712998,2745360.045436724,418.0,25.178516387939453,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,142,0,425504.4588373763,2769516.518212943,368.0,15.736778259277344,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,143,0,428045.21855651593,2756847.417501823,718.0,20.20196914672852,元古界楼子坝组,0.0,0.0,0.0,0.0
random,144,0,427058.586684784,2743762.446959363,492.0,27.49176979064941,泥盆系天瓦岽组,0.0,0.0,0.0,0.0
random,145,0,403285.72181883786,2758191.3413481014,239.0,27.62121963500977,元古界楼子坝组,0.0,0.0,0.0,0.0
random,146,0,421751.5472892484,2765743.2491812366,282.0,3.2376880645751958,石炭系老虎洞组,0.0,0.0,0.0,0.0
random,147,0,430544.9669200976,2749576.592573576,457.0,10.77250862121582,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,148,0,432825.25930867216,2750812.12902381,569.0,12.74985122680664,燕山晚期花岗斑岩,0.0,0.0,0.0,0.0
random,149,0,432117.04098015,2754981.802266288,492.0,15.198269844055176,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,150,0,411167.6567653848,2757908.178765157,298.0,27.1237907409668,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,151,0,431763.71474495344,2755415.440745962,489.0,11.976725578308104,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,152,0,417338.5499314783,2761547.287778249,283.0,17.299108505249023,元古界楼子坝组,0.0,0.0,0.0,0.0
random,153,0,423237.8889506647,2767065.883085024,559.0,32.8275032043457,石炭系林地组,0.0,0.0,0.0,0.0
random,154,0,415975.6132714437,2752114.9055661377,335.0,0.8102306723594666,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,155,0,431399.6579573612,2760883.127162876,851.0,24.28587532043457,华力西-印支期正长花岗岩,0.0,0.0,0.0,0.0
random,156,0,419682.7142968191,2761887.3572828323,333.0,9.794257164001465,石炭系林地组,0.0,0.0,0.0,0.0
random,157,0,430829.6693985405,2751730.736592476,454.0,4.124518394470215,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,158,0,427168.6493069069,2754539.3976120288,622.0,23.771299362182617,元古界楼子坝组,0.0,0.0,0.0,0.0
random,159,0,432667.4956165493,2746336.990546143,407.0,19.00286293029785,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
